Dam Name,eap,status,hazard,county,lat,lng,river_stream,basin,nearest_town,distance_to_town,year,type_modify_repair,modify_year,structural_height,pool_cap,max_impound,condition,icon,last_inspection,next_inspection,owner,owner_type
Randy Fox Dam,Y,IMPOUNDING,High,Orange,36.11427,-79.05732,Little Creek-Tr,Neuse,Hillsborough,,2006 ,,,24.5,,68 ,Fair,greenRound, 07/16/2007, 05/02/2009,,Unknown
Bullard And Patterson Dam,N,IMPOUNDING,High,Wake,35.75556,-78.54917,Walnut Creek-Tr,Neuse,,,,,,8.0,,3 ,Fair,greenRound, 06/22/2008, 06/22/2009,Lisa Bullard,Private
Lake Elton Dam,N,IMPOUNDING,High,Durham,35.926,-78.898,Northeast Creek-Tr,Cape Fear,Parkwood,2 ,1962 ,,,25.0,128 ,155 ,Fair,greenRound, 07/29/2008, 07/29/2009,Elton Blair Clements,Private
Sanford Raw Water Reservoir,N,IMPOUNDING,High,Lee,35.53361,-79.0475,Bush Creek-Os,Cape Fear,N/A,,1993 ,,,30.0,194 ,234 ,Satisfactory,greenRound, 10/10/2007, 10/10/2009,City Of Sanford,Local government
Sheppard Millpond Dam,N,IMPOUNDING,High,Pitt,35.69111,-77.21,Briery Swamp,Tar-Pamlico,Washington,15 ,1920 ,,,16.4,756 ,907 ,Not Rated,blueRound, 11/25/2008, 11/25/2009,C A Forbes,Private
Robertson'S Pond,N,IMPOUNDING,High,Wake,35.817,-78.413,Buffalo Creek,Neuse,Wendell,5 ,1900 ,,,10.0,216 ,259 ,Fair,greenRound, 01/30/2009, 01/30/2010,"G&F Properties, L.L.C.",Private
Crystal Lake Dam,Y,IMPOUNDING,High,Durham,36.05506,-78.93695,Eno River-Tr,Neuse,Durham,,1947 ,Repair,2004,20.0,72 ,100 ,Fair,greenRound, 02/14/2008, 02/14/2010,"Croasdaile Farm Master Homeowner Association, Inc.",Private
Remington Park Dam,N,IMPOUNDING,High,Wake,35.865,-78.554,Perry Creek-Tr,Neuse,N/A,,1987 ,,,26.0,48 ,84 ,Fair,greenRound, 03/27/2009, 03/27/2010,Remington Park Urban Resources,Private
Art Museum Dam,N,IMPOUNDING,High,Wake,35.80883,-78.7,House Creek-Tr,Neuse,,,,,,15.0,,10 ,Fair,greenRound, 04/09/2009, 04/09/2010,,Unknown
Springdale Estates Upper Dam,N,IMPOUNDING,High,Wake,35.897,-78.718,Haresnipe Creek-Tr,Neuse,Raleigh,3 ,,,,34.0,,75 ,Fair,greenRound, 04/21/2008, 04/21/2010,G Cipau & W Schwartz,Private
N. Durham Quarry East Dam,N,IMPOUNDING,High,Durham,36.2153,-78.9486,,Neuse,,,,,,16.0,,134 ,Satisfactory,greenRound, 05/15/2008, 05/15/2010,Carolina Benchmark Aggregates,Private
N. Durham Quarry West Dam,N,IMPOUNDING,High,Durham,36.2125,-78.9486,,Neuse,,,,,,16.0,,83 ,Satisfactory,greenRound, 05/15/2008, 05/15/2010,Carolina Benchmark Aggregates,Private
Oxford Commons Dam,N,IMPOUNDING,High,Durham,36.045,-78.896,Eno River-Tr,Neuse,,,1990 ,,,21.0,,24 ,Satisfactory,greenRound, 05/27/2009, 05/27/2010,W & M Properties,Private
Hock Dam,N,IMPOUNDING,High,Durham,36.04497,-78.89628,Eno River-Tr,Neuse,,,,,,20.0,,8 ,Satisfactory,greenRound, 05/27/2009, 05/27/2010,,Unknown
Newcomb Lake Dam,N,IMPOUNDING,High,Durham,36.076,-78.97,Seven Mile Creek,Neuse,Durham,,1942 ,,,15.0,55 ,94 ,Fair,greenRound, 06/17/2009, 06/17/2010,Willowhaven North Prop,Private
Cole Lake Dam,N,IMPOUNDING,High,Durham,36.043,-78.966,Eno River-Tr,Neuse,Huckleberry Springs,1 ,1949 ,,,19.0,58 ,81 ,Fair,greenRound, 06/17/2009, 06/17/2010,Jessie W Cole,Private
Willowhaven Lake Dam #2,N,IMPOUNDING,High,Durham,36.073,-78.964,Seven Mile Creek,Neuse,Durham,2 ,1962 ,,,26.0,48 ,58 ,Fair,greenRound, 06/17/2009, 06/17/2010,"Umstead Pines Golf, Swim & Tennis Club",Private
Lake Vista Dam,Y,IMPOUNDING,High,Durham,36.0816,-78.9570,Eno River-Tr,Neuse,Durham,2 ,1958 ,Repair,2009,20.0,58 ,69 ,Fair,greenRound, 06/19/2009, 06/17/2010,"Umstead Pines Golf, Swim & Tennis Club",Private
Lake Crabtree,N,IMPOUNDING,High,Wake,35.83639,-78.78222,Crabtree Creek,Neuse,Raleigh,,1988 ,,,45.0,2040 ,8950 ,Satisfactory,greenRound, 06/17/2009, 06/17/2010,,Unknown
Duke University Dam,Y,IMPOUNDING,High,Durham,35.9887,-78.9451,UT to Sandy Creek,Cape Fear,,,2006 ,,,,,,Satisfactory,greenRound, 06/19/2009, 06/19/2010,,Unknown
Weston #1,N,IMPOUNDING,High,Wake,35.69889,-78.61556,Swift Creek-Tr,Neuse,,,,,,18.0,,11 ,Fair,greenRound, 08/22/2008, 08/22/2010,,Unknown
Weston #2,N,IMPOUNDING,High,Wake,35.69778,-78.61667,Swift Creek-Tr,Neuse,,,,,,15.0,,10 ,Fair,greenRound, 08/22/2008, 08/22/2010,,Unknown
Kildaire Farms Dam,Y,IMPOUNDING,High,Wake,35.7597,-78.7981,Swift Creek-Tr,Neuse,Cary,,1985 ,,,22.0,180 ,420 ,Fair,greenRound, 08/28/2008, 08/28/2010,Kildaire Farm II Home Owners Association,Private
The Streets at Southpoint Mall Dam,Y,IMPOUNDING,High,Durham,35.90152,-78.94565,tributary to New Hope Creek,Cape Fear,,,2002 ,,,21.7,7 ,51 ,Satisfactory,greenRound, 09/08/2009, 09/08/2010,Urban Retail Properties Company,Private
St. Andrews Plantation Dam,N,IMPOUNDING,High,Wake,35.91389,-78.51444,Smith Creek-Tr,Neuse,,,,Repair,2005,18.5,17 ,23 ,Fair,greenRound, 09/25/2009, 09/25/2010,"Adams Developments, LLC",Private
Rosewood Subdivision Dam,Y,IMPOUNDING,High,Wake,35.9653,-78.7051,UT to Barton Creek,Neuse,,,2008 ,,,15.2,3 ,6 ,Satisfactory,greenRound, 10/06/2008, 10/06/2010,,Unknown
Keen Lake Dam #1,Y,IMPOUNDING,High,Johnston,35.47832,-78.48085,Black Creek-Tr,Neuse,Four Oaks,3 ,1900 ,,,18.0,,180 ,Not recorded,blueRound, 10/21/2008, 10/21/2010,Dr. Lorie Moore,Private
Lake Pine Dam,Y,IMPOUNDING,High,Wake,35.74724,-78.81657,Williams Creek,Neuse,Cary,1 ,1968 ,,,22.0,136 ,163 ,Fair,greenRound, 12/29/2009, 12/29/2010,Town Of Apex,Local government
Breckenridge Recreation Center Dam,Y,IMPOUNDING,High,Wake,35.83989,-78.86276,Kitt Creek TR,Cape Fear,Cary,,2001 ,,,20.5,0 ,38 ,Fair,greenRound, 03/16/2010, 03/16/2011,Pulte Home Corporation,Private
Breckenridge Tract 9 & 10 Dam,Y,IMPOUNDING,High,Wake,35.84129,-78.87309,Kitt Creek TR,Cape Fear,Cary,,2002 ,,,28.1,0 ,83 ,Fair,greenRound, 03/16/2010, 03/16/2011,Pulte Home Corporation,Private
Lake Glenwood Dam,Y,IMPOUNDING,High,Pitt,35.576,-77.314,Hardee Creek-Tr,Tar-Pamlico,Yankee Hall,8 ,1966 ,,,20.0,72 ,86 ,Fair,greenRound, 05/05/2010, 05/05/2011,Lake Glenwood Home Owners Association,Private
Discovery Lake Dam,Y,IMPOUNDING,High,Durham,35.88564,-78.87611,Burdens Creek-Tr,Cape Fear,Haywood,16 ,1978 ,,,30.0,,336 ,Satisfactory,greenRound, 07/22/2009, 07/22/2011,NIEHS,Private
Cedar Lake Dam,N,IMPOUNDING,High,Lee,35.592,-79.154,Deep River-Tr,Cape Fear,,,,,,18.0,,22 ,Fair,greenRound, 08/16/2010, 08/16/2011,,Unknown
Wendy Hill Dam,N,IMPOUNDING,High,Chatham,35.79822,-78.95457,Lick Branch,Cape Fear,N/A,,1995 ,,,26.0,100 ,163 ,Satisfactory,greenRound, 04/15/2011, 02/04/2012,Wendy Hill Landowner's Assoc.,Private
Cedar Hills Lake Dam,N,IMPOUNDING,High,Wake,35.853,-78.625,Big Creek,Neuse,,,,,,22.0,,20 ,Satisfactory,greenRound, 03/04/2011, 03/04/2012,"The Lexington Group, Inc.",Private
Crabtree Creek W/S Dam #18,N,IMPOUNDING,High,Wake,35.8,-78.829,Coles Creek,Neuse,Morrisville,2 ,1973 ,,,34.0,41 ,661 ,Satisfactory,greenRound, 03/30/2011, 03/30/2012,Wake County Comm. Dev. Svcs.,Local government
Searstone,N,IMPOUNDING,High,Wake,35.7891,-78.8419,Turkey Creek trib,Neuse,Cary,,,,,18.0,8 ,9 ,Satisfactory,greenRound, 03/30/2011, 03/30/2012,"Sears Farm, LLC",Private
Huggins Glen Dam,Y,IMPOUNDING,High,Wake,35.7809,-78.8155,unnamed trib. to Crabtree Cree,Neuse,,,,,,20.0,,80 ,Satisfactory,greenRound, 03/30/2011, 03/30/2012,,Unknown
Crabtree Dam 20-A,Y,IMPOUNDING,High,Wake,35.867,-78.808,Brier Creek,Neuse,,,1977 ,,,40.0,,2500 ,Satisfactory,greenRound, 03/31/2011, 03/31/2012,Wake County,Local government
Rtp South Dam,Y,IMPOUNDING,High,Wake,35.8521,-78.8734,Kitt Creek,Cape Fear,Apex,5 ,1993 ,,,23.0,,708 ,Satisfactory,greenRound, 03/31/2011, 03/31/2012,Research Foundation Of Nc (Elizabeth Rooks),Private
Perimeter Park West Dam,N,IMPOUNDING,High,Wake,35.85417,-78.82722,,Neuse,,,,,,16.0,,10 ,Satisfactory,greenRound, 03/31/2011, 03/31/2012,Perimeter Park West Assoc.,Private
RTP W-5 Dam,Y,IMPOUNDING,High,Wake,35.85373,-78.88680,Kit Creek,Cape Fear,Jordan Reservoir,,2007 ,,,20.0,260 ,700 ,Satisfactory,greenRound, 03/31/2011, 03/31/2012,Research Foundation of North Carolina,Private
Coronado Lake Dam,Y,IMPOUNDING,High,Wake,35.7822,-78.7736,Walnut Creek-Tr,Neuse,Cary,,,Repair,2006,9.4,16 ,26 ,Satisfactory,greenRound, 04/04/2011, 04/04/2012,"Coronado Village Home Owners Association, Inc.",Private
Gresham Lake Dam,N,IMPOUNDING,High,Wake,35.88,-78.574,Perry Creek,Neuse,Milburnie,10 ,1939 ,,,35.0,1200 ,1755 ,Satisfactory,greenRound, 04/05/2011, 04/05/2012,Bennett Rowland,Private
NCSU Centennial Campus Farm Pond Dam,N,IMPOUNDING,High,Wake,35.765,-78.672,Swift Creek-Tr,Neuse,Raleigh,,,Repair,2008,20.0,,20 ,Satisfactory,greenRound, 04/05/2011, 04/05/2012,,Unknown
Carolina Pines Dam,Y,IMPOUNDING,High,Wake,35.7509,-78.6595,Trib. - Walnut Creek,Neuse,Raleigh,,1948 ,,,21.7,19 ,53 ,Satisfactory,greenRound, 04/06/2011, 04/06/2012,,Unknown
Son Lan Lee Shipwash Dam,N,IMPOUNDING,High,Johnston,35.6236,-78.5306,,Neuse,,,,,,19.7,0 ,2 ,Fair,greenRound, 04/14/2011, 04/14/2012,"Son Lan Lee Shipwash, LLC",Private
Camp Pond Dam,N,IMPOUNDING,High,Wake,35.83167,-78.72422,Richland Creek-Tr,Neuse,Raleigh,1 ,,,,15.0,,24 ,Fair,greenRound, 04/26/2011, 04/26/2012,Mr.& Mrs. Wesley Mcclure,Private
Miry Branch Dam,N,IMPOUNDING,High,Johnston,35.5944,-78.5823,,Neuse,,,,,,20.5,23 ,0 ,Fair,greenRound, 04/26/2011, 04/26/2012,,Unknown
Olde Raleigh Dam #3,N,IMPOUNDING,High,Wake,35.83278,-78.70972,Crabtree Creek-Tr,Neuse,Raleigh,,,,,22.0,13 ,24 ,Satisfactory,greenRound, 05/10/2011, 05/10/2012,Olde Raleigh,Private
Olde Raleigh Dam #1,N,IMPOUNDING,High,Wake,35.83028,-78.70889,Crabtree Creek-Tr,Neuse,Raleigh,,,,,18.0,10 ,20 ,Fair,greenRound, 05/10/2011, 05/10/2012,"Olde Raleigh, Inc.",Private
Olde Raleigh Dam #2,N,IMPOUNDING,High,Wake,35.83028,-78.70833,Crabtree Creek-Tr,Neuse,Raleigh,,,,,22.0,7 ,25 ,Satisfactory,greenRound, 05/10/2011, 05/10/2012,"Olde Raleigh, Inc.",Private
Seymour Farms Pond Dam,Y,IMPOUNDING,High,Wake,35.7117,-78.8589,UT to Little Branch,Cape Fear,Apex,,1900 ,Repair,2008,23.5,6 ,7 ,Satisfactory,greenRound, 05/10/2011, 05/10/2012,,Unknown
Crabtree Creek W/S Structure #11a,N,IMPOUNDING,High,Wake,35.829,-78.726,Richland Creek,Neuse,Raleigh,4 ,1980 ,,,53.5,323 ,3327 ,Fair,greenRound, 04/29/2011, 08/28/2012,Wake Co. Dev. Services,Local government
Lake Tabor Dam,Y,IMPOUNDING,High,Columbus,34.15833,-78.85833,Grissett Swamp,Lumber,,,1999 ,,,12.0,,,Satisfactory,greenRound, 08/29/2011, 08/29/2012,Town Of Tabor City,Local government
Delta Lake,N,IMPOUNDING,High,Wake,35.856,-78.709,Crabtree Creek-Tr,Neuse,Raleigh,,,,,25.0,22 ,42 ,Fair,greenRound, 08/29/2011, 08/29/2012,Genford Dev. Co.,Private
Roxboro Municipal Lake Dam,N,IMPOUNDING,High,Person,36.435,-79.017,Storys Creek,Roanoke,Chub Lake,1 ,1955 ,,,33.0,2450 ,4125 ,Satisfactory,greenRound, 11/03/2011, 11/03/2012,City Of Roxboro,Local government
Cane Creek Resevoir Dam,N,IMPOUNDING,High,Orange,35.95028,-79.24111,Cane Creek,Cape Fear,,,1989 ,,,72.0,,19079 ,Satisfactory,greenRound, 11/09/2011, 11/09/2012,Owasa,Local government
Shaw Lake Dam,Y,IMPOUNDING,High,Wake,35.893,-78.659,Honeycutt Creek-,Neuse,Raleigh,7 ,1972 ,,,25.0,48 ,55 ,Fair,greenRound, 12/28/2011, 12/28/2012,H William Hall,Private
Stonebridge Lake Dam,N,IMPOUNDING,High,Wake,35.918,-78.67,Barton Creek-Tr,Neuse,Falls,7 ,,,,28.0,,45 ,Fair,greenRound, 12/28/2011, 12/28/2012,Stonebridge Dev Corp,Private
Turfgrass Lake Dam #3,N,IMPOUNDING,High,Wake,35.7836,-78.5489,Crabtree Creek-Tr,Neuse,Smithfield,35 ,1950 ,,,15.0,70 ,85 ,Satisfactory,greenRound, 12/31/2011, 12/31/2012,Talis Management,Private
Myrick Lake Dam,N,IMPOUNDING,High,Wake,35.783,-78.485,Poplar Creek,Neuse,Knightdale,,,,,13.0,,5 ,Fair,greenRound, 12/31/2011, 12/31/2012,Billy Myrick,Private
Marshall Pond #2,N,IMPOUNDING,High,Wake,35.9414,-78.5065,Sandford Creek-Tr,Neuse,,,,,,25.0,27 ,59 ,Fair,greenRound, 01/17/2012, 01/17/2013,Margaret P. Schepp,Private
Siler City Water Supply Dam,N,IMPOUNDING,High,Chatham,35.765,-79.46,Rocky River-Tr,Cape Fear,Siler City,4 ,1953 ,,,20.0,,70 ,Fair,greenRound, 01/31/2012, 01/31/2013,Town Of Siler City,Local government
Lake Royale Dam,Y,IMPOUNDING,High,Franklin,35.9503,-78.1878,Cypress Creek,Tar-Pamlico,Spring Hope,4 ,1973 ,Repair,2009,45.0,3313 ,10260 ,Satisfactory,greenRound, 02/03/2012, 02/03/2013,Lake Royale Property Association,Private
Bunn Lake Dam,Y,IMPOUNDING,High,Franklin,35.852,-78.271,Moccasin Creek,Neuse,Zebulon,3 ,1930 ,,,19.0,690 ,975 ,Satisfactory,greenRound, 02/03/2012, 02/03/2013,"Bob. H. Perry, Pres.",Private
Little River Dam,Y,IMPOUNDING,High,Durham,36.1135,-78.8685,Little River,Neuse,Falls,32 ,1984 ,Repair,2010,95.0,8300 ,18000 ,Satisfactory,greenRound, 02/08/2012, 02/08/2013,City Of Durham,Local government
Lake Michie Dam,Y,IMPOUNDING,High,Durham,36.1502,-78.8309,Flat River,Neuse,Redwood,8 ,1926 ,,,92.0,12400 ,18660 ,Satisfactory,greenRound, 02/08/2012, 02/08/2013,City Of Durham,Utility
San-Lee Park Dam,Y,IMPOUNDING,High,Lee,35.4825,-79.1269,Little Lick Creek,Cape Fear,N/A,,1945 ,,,31.0,39 ,95 ,Satisfactory,greenRound, 02/22/2012, 02/22/2013,Lee County Parks And Recreation Dept.,Local government
San-Lee Park Upper Dam,N,IMPOUNDING,High,Lee,35.48176,-79.12472,Little Lick Creek,Cape Fear,N/A,,,,,13.0,26 ,46 ,Satisfactory,greenRound, 02/22/2012, 02/22/2013,Lee County Parks And Recreation Dept.,Local government
Woolner Dam,N,IMPOUNDING,High,Wake,35.7208,-78.7921,Swift Creek-TR,Neuse,Cary,,,,,19.0,6 ,11 ,Fair,greenRound, 02/22/2012, 02/22/2013,,Unknown
Mintz Lake Dam,Y,IMPOUNDING,High,Cumberland,35.089,-78.924,Little Cross Creek,Cape Fear,Fayetteville,2 ,1920 ,,,12.0,49 ,103 ,Not recorded,blueRound, 03/05/2008, 03/05/2013,Fayetteville Public Works Comm.,Local government
Ridgefield Subdv. SWDP Dam 14,Y,IMPOUNDING,High,Durham,36.0052,-78.8109,Chunky Pipe Creek TR,Neuse,Durham,,0 ,Modify,2005,17.9,3 ,6 ,Satisfactory,greenRound, 03/08/2012, 03/08/2013,"Ridgefield Community Association, Inc.",Private
PCS Phosphate R7 Blend Dike,Y,IMPOUNDING,High,Beaufort,35.3133,-76.8163,NA,Tar-Pamlico,NA,,2007 ,,,35.0,16350 ,40875 ,Satisfactory,greenRound, 04/10/2012, 04/01/2013,"PCS Phosphate Company, Inc",Private
PCS Phosphates R-5 Dike,Y,IMPOUNDING,High,Beaufort,35.3411,-76.8310,,Tar-Pamlico,,,2008 ,,,35.0,,4900 ,Satisfactory,greenRound, 04/10/2012, 04/01/2013,,Unknown
Jackson Lake Dam,Y,IMPOUNDING,High,Franklin,36.065,-78.209,Cypress Creek,Tar-Pamlico,Stanhope,19 ,1929 ,Repair,2004,25.0,165 ,665 ,Satisfactory,greenRound, 04/15/2011, 04/15/2013,T. Davis & Jeaneen Miller,Private
Lambert Dam,N,IMPOUNDING,High,Franklin,35.903,-78.235,Press Prong Creek-Tr,Neuse,Daddysville,,,,,17.6,,21 ,Satisfactory,greenRound, 04/15/2011, 04/15/2013,Georgew. Lambert,Private
Morganton Watershed Dam,N,IMPOUNDING,High,Burke,35.62278,-81.70444,Henry River,Catawba,Morganton,10 ,1939 ,,,31.0,,150 ,Satisfactory,greenRound, 04/19/2011, 04/24/2013,South Mountain State Park,Local government
Crabtree Creek Dam 5-A,Y,IMPOUNDING,High,Wake,35.86833,-78.82472,Stirup Iron Creek,Neuse,Raleigh,10 ,,,,50.0,,3010 ,Satisfactory,greenRound, 04/29/2011, 03/16/2011,Wake County Et. Al,Local government
South Hyco Lake Dam,N,IMPOUNDING,High,Person,36.34861,-79.14056,South Hyco Creek,Roanoke,,,1977 ,,,58.0,,9400 ,Satisfactory,greenRound, 05/03/2011, 05/03/2013,City Of Roxboro,Local government
Eastwood Lake Dam,N,IMPOUNDING,High,Orange,35.946,-79.031,Booker Creek,Cape Fear,Chapel Hill,,1937 ,,,19.0,250 ,330 ,Satisfactory,greenRound, 06/08/2012, 06/08/2013,Lake Forest Association,Private
Wake Forest Water Supply Dam,N,IMPOUNDING,High,Wake,35.97083,-78.48944,Smith Creek,Neuse,Milburnie,15 ,1960 ,,,36.4,538 ,945 ,Satisfactory,greenRound, 06/22/2012, 06/22/2013,Town Of Wake Forest,Local government
Northshore Lake Dam,Y,IMPOUNDING,High,Wake,35.83637,-78.58704,Marsh Creek-Tr,Neuse,Raleigh,,1957 ,,,15.0,40 ,63 ,Poor,redRound, 06/28/2012, 06/28/2013,Northshore Neighborhood Asso.,Private
North Blvd Comm Center Dam,N,IMPOUNDING,High,Wake,35.844,-78.585,Marsh Creek-Tr,Neuse,,,,,,12.0,,20 ,Fair,greenRound, 06/28/2012, 06/28/2013,North Blvd Comm Center,Private
Brentwood Today Lake Dam,Y,IMPOUNDING,High,Wake,35.83194,-78.58972,Marsh Creek-Tr,Neuse,Raleigh,,,,,16.0,,12 ,Poor,redRound, 06/28/2012, 06/28/2013,John R Adams,Private
Landmark Apts. Dam,N,IMPOUNDING,High,Wake,35.819,-78.698,House Creek-Tr,Neuse,Raleigh,,,,,18.0,12 ,18 ,Satisfactory,greenRound, 07/03/2012, 07/03/2013,Capital Real Estate Manag.,Private
Longview Lake Dam Lower,N,IMPOUNDING,High,Wake,35.7858,-78.5942,Crabtree Creek-Tr,Neuse,Raleigh,,1945 ,,,20.0,62 ,143 ,Poor,redRound, 07/26/2012, 07/26/2013,Longview Gardens Inc.,Private
Longview Lake Upper Dam,N,IMPOUNDING,High,Wake,35.7846,-78.5980,Crabtree Creek-Tr,Neuse,Raleigh,,,,,14.7,24 ,44 ,Fair,greenRound, 07/26/2012, 07/26/2013,Dennis and Ida Johnson,Private
Hamilton Lake Dam,N,IMPOUNDING,High,Harnett,35.5489,-78.8151,UT Kenneth Creek,Cape Fear,Chalebeate Springs,,0 ,,,9.0,0 ,24 ,Poor,redRound, 04/16/2013, 09/18/2013,Mary N Hamilton,Private
South Bay Dike,Y,IMPOUNDING,High,Columbus,34.3466,-78.2040,Cape Fear River,Cape Fear,NA,,0 ,,,24.0,2700 ,2700 ,Satisfactory,greenRound, 09/26/2012, 10/01/2013,"International Paper, Inc.",Private
Bv Hedrick Tailings Dike #3,Y,IMPOUNDING,High,Anson,34.93972,-79.92917,Island Creek-Tr,Yadkin-PeeDee,Lilesville,3 ,1989 ,,,35.0,508 ,570 ,Fair,greenRound, 10/31/2012, 10/31/2013,B.V. Hedrick Sand And Gravel Co.,Private
Pine Lake Dam,Y,IMPOUNDING,High,Scotland,34.974,-79.575,Gum Swamp Creek,Lumber,Laurel Hill,13 ,1952 ,,,18.0,114 ,137 ,Fair,greenRound, 11/14/2012, 11/18/2013,NCDOT-Division 8 Maintenance,State
Pine Knoll Dam,N,IMPOUNDING,High,Wake,35.8269,-78.5900,UT to Marsh Creek,Neuse,Raleigh,0 ,,,,,,,Fair,greenRound, 11/28/2012, 11/28/2013,"Habitat for Humanity of Wake County, Inc",Private
Blanchard Lake Dam #1,N,IMPOUNDING,High,Harnett,35.325,-79.06028,Barbeque Swamp,Cape Fear,Harnett,11 ,1943 ,,,50.0,413 ,422 ,Fair,greenRound, 12/04/2012, 12/04/2013,Pine Grove Development Corp.,Private
Blanchard Lake Dam #2,N,IMPOUNDING,High,Harnett,35.32333,-79.06028,Barbeque Swamp,Cape Fear,Harnett,11 ,1953 ,,,21.0,83 ,86 ,Fair,greenRound, 12/04/2012, 12/04/2013,Pine Grove Development Corp.,Private
Blanchard Lake Dam #3,N,IMPOUNDING,High,Harnett,35.32306,-79.05889,Barbeque Swamp,Cape Fear,Harnett,11 ,1953 ,,,18.0,77 ,82 ,Fair,greenRound, 12/04/2012, 12/04/2013,"Farm at Five Ponds Homeowners Association, Inc.",Private
Snouffer Lake Dam,N,IMPOUNDING,High,Alamance,36.081,-79.415,Bowden Branch,Cape Fear,Burlington,,1950 ,,,18.0,43 ,96 ,Poor,redRound, 12/13/2011, 12/12/2021,Frances Snouffer Heirs c/o,Private
Hedingham Dam #1,N,IMPOUNDING,High,Wake,35.811,-78.547,Neuse River-Tr,Neuse,Raleigh,,1955 ,,,25.0,113 ,152 ,Satisfactory,greenRound, 12/31/2012, 12/31/2013,Fred Smith Associates,Private
Lakes Apartment Dam,N,IMPOUNDING,High,Wake,35.864,-78.629,Big Branch,Neuse,Raleigh,,1972 ,,,15.0,13 ,22 ,Fair,greenRound, 12/31/2012, 12/31/2013,Consolidated Capital Growth Fund,Private
North Ridge Lake Dam Upper,N,IMPOUNDING,High,Wake,35.883,-78.613,Perry Creek,Neuse,Raleigh,,1966 ,,,26.0,128 ,168 ,Satisfactory,greenRound, 12/31/2012, 12/31/2013,North Ridge Country Club,Private
North Ridge Lake Dam Lower,N,IMPOUNDING,High,Wake,35.877,-78.602,Perry Creek,Neuse,Raleigh,,1971 ,,,24.0,59 ,161 ,Satisfactory,greenRound, 12/31/2012, 12/31/2013,North Ridge Country Club,Private
Fuller Lake Dam,Y,IMPOUNDING,High,Wake,35.89001,-78.65211,Lead Mine Creek-Tr,Neuse,,,1947 ,,,30.0,,70 ,Fair,greenRound, 12/31/2012, 12/31/2013,Roy Fuller,Private
Hart-George Pond,N,IMPOUNDING,High,Wake,35.835,-78.65,Crabtree Creek-Tr,Neuse,Raleigh,,,,,23.0,15 ,18 ,Fair,greenRound, 12/31/2012, 12/31/2013,J.Hart & N.George,Private
Williams-Johnson Pond Dam,N,IMPOUNDING,High,Wake,35.834,-78.654,Crabtree Creek-Tr,Neuse,Raleigh,,,,,25.0,38 ,44 ,Fair,greenRound, 12/31/2012, 12/31/2013,Dr. Isaac Manley,Private
The Lakes Lower Dam,N,IMPOUNDING,High,Wake,35.866,-78.629,Big Branch,Neuse,,,,,,17.0,29 ,41 ,Fair,greenRound, 12/31/2012, 12/31/2013,The Lakes Apts.,Private
